exp,r1_s1,r2_s1,r3_s1,avg_s1,std_s1,unit_s1,r1_s2,r2_s2,r3_s2,avg_s2,std_s2,unit_s2,
th_1,996444247.4716322,996444247.4716322,996444247.4716322,996444247.4716322,0.0,bps,,,,,,
th_2,498243094.56251085,498243094.56251085,498243094.56251085,498243094.56251085,0.0,bps,498230228.76005346,498230228.76005346,498230228.76005346,498230228.76005346,0.0,bps
th_3,996444247.4716322,996437607.4373221,996437607.4373221,996439820.7820922,3833.625596366008,bps,,,,,,
th_4,498232721.11375946,498232721.11375946,498232721.11375946,498232721.11375946,0.0,bps,498226907.0814785,498226907.0814785,498226907.0814785,498226907.0814785,0.0,bps
th_5,498232721.11375946,498243094.56251085,498243094.56251085,498239636.7462604,5989.113429039792,bps,498226907.0814785,498230228.76005346,498230228.76005346,498229121.5338618,1917.7720194257145,bps
afct_1,0.442105008,0.442105008,0.442105008,0.442105008,0.0,sec,,,,,,
afct_2,0.8841728,0.8841728,0.8841728,0.8841728,0.0,sec,0.884195632,0.884195632,0.884195632,0.884195632,0.0,sec
afct_3,0.442105008,0.442192704,0.442192704,0.442163472,5.063130920683637e-05,sec,,,,,,
afct_4,0.884360704,0.884360704,0.884360704,0.884360704,0.0,sec,0.884371024,0.884371024,0.884371024,0.884371024,0.0,sec
afct_5,0.884360704,0.8841728,0.8841728,0.8842354346666667,0.00010848642498181697,sec,0.884371024,0.884195632,0.884195632,0.8842540959999999,0.00010126261841373684,sec
